Position,Const,Created,Modified,Description,Name,Known For,Birth Date
95,nm0005466,2018-08-17,2018-08-17,,"Julia Stiles","10 Things I Hate About You","March 28, 1981"
96,nm0000130,2018-08-22,2018-08-22,,"Jamie Lee Curtis","True Lies","November 22, 1958"
97,nm0000141,2018-08-22,2018-08-22,,"David Duchovny","The X Files","August 7, 1960"
98,nm0000598,2018-08-22,2018-08-22,,"Dennis Quaid","Far from Heaven","April 9, 1954"
99,nm3918035,2018-08-22,2018-08-22,,"Zendaya","Spider-Man: Homecoming","September 1, 1996"
100,nm0005516,2018-08-22,2018-08-22,,"Blair Underwood","Deep Impact","August 25, 1964"
101,nm0068338,2018-08-22,2018-08-22,,"Kristen Bell","Frozen","July 18, 1980"
102,nm2400045,2018-08-22,2018-08-22,,"Nina Dobrev","The Perks of Being a Wallflower","January 9, 1989"
103,nm0000641,2018-08-27,2018-08-27,,"Gary Sinise","Forrest Gump","March 17, 1955"
104,nm0000434,2018-08-27,2018-08-27,,"Mark Hamill","Star Wars","September 25"
105,nm0000221,2018-08-27,2018-08-27,,"Charlie Sheen","Two and a Half Men","September 3, 1965"
106,nm0000954,2018-08-27,2018-08-27,,"Jon Bon Jovi","Young Guns II","March 2, 1962"
107,nm1982597,2018-08-27,2018-08-27,,"Rihanna","Battleship","February 20, 1988"
108,nm0004914,2018-08-27,2018-08-27,,"Fergie","Nine","March 27, 1975"
109,nm0241049,2018-08-27,2018-08-27,,"Josh Duhamel","Transformers","November 14, 1972"
110,nm0000293,2018-08-30,2018-08-30,,"Sean Bean","The Lord of the Rings: The Fellowship of the Ring","April 17, 1959"
111,nm0000513,2018-08-30,2018-08-30,,"William H. Macy","Fargo","March 13, 1950"
112,nm1046097,2018-08-30,2018-08-30,,"Rachel McAdams","The Notebook","November 17, 1978"
113,nm0000422,2018-08-30,2018-08-30,,"John Goodman","10 Cloverfield Lane","June 20, 1952"
114,nm1086543,2018-08-30,2018-08-30,,"Amanda Seyfried","Les Misérables","December 3, 1985"
115,nm0000115,2018-08-30,2018-08-30,,"Nicolas Cage","Face/Off","January 7, 1964"
116,nm0000102,2018-08-30,2018-08-30,,"Kevin Bacon","Footloose","July 8, 1958"
117,nm0000491,2018-08-30,2018-08-30,,"John Leguizamo","Moulin Rouge!","July 22, 1960"
118,nm0000662,2018-08-30,2018-08-30,,"Kiefer Sutherland","24","December 21, 1966"
119,nm0001803,2018-08-30,2018-08-30,,"Danny Trejo","Machete","May 16, 1944"
120,nm0365140,2020-07-26,2020-07-26,,"Naomie Harris","Moonlight","September 6, 1976"
121,nm2933757,2020-07-26,2020-07-26,,"Gal Gadot","Wonder Woman","April 30, 1985"
122,nm1209966,2020-07-26,2020-07-26,,"Oscar Isaac","Ex Machina","March 9, 1979"
123,nm0430107,2020-07-26,2020-07-26,,"Michael B. Jordan","Black Panther","February 9, 1987"
124,nm0402271,2020-07-26,2020-07-26,,"Charlie Hunnam","Sons of Anarchy","April 10, 1980"
125,nm1727304,2020-07-26,2020-07-26,,"Domhnall Gleeson","Frank","May 12, 1983"
126,nm0001806,2020-07-26,2020-07-26,,"John Turturro","Fading Gigolo","February 28, 1957"
127,nm0000604,2020-07-26,2020-07-26,,"John C. Reilly","Chicago","May 24, 1965"
128,nm0249291,2020-07-26,2020-07-26,,"Joel Edgerton","The Gift","June 23, 1974"
129,nm4043618,2019-01-30,2019-01-30,,"Tom Holland","Spider-Man: Homecoming","June 1, 1996"
130,nm0330687,2019-01-30,2019-01-30,,"Joseph Gordon-Levitt","Inception","February 17, 1981"
131,nm0424848,2019-01-30,2019-01-30,,"Dakota Johnson","Fifty Shades of Grey","October 4, 1989"
132,nm1089991,2019-01-30,2019-01-30,,"Tom Hiddleston","The Avengers","February 9, 1981"
133,nm0362766,2019-01-30,2019-01-30,,"Tom Hardy","Inception","September 15, 1977"
134,nm1946193,2019-01-30,2019-01-30,,"Jamie Dornan","Belfast","May 1, 1982"
135,nm0252961,2019-01-30,2019-01-30,,"Idris Elba","Beasts of No Nation","September 6, 1972"
136,nm0002536,2019-01-30,2019-01-30,,"Emmy Rossum","The Phantom of the Opera","September 12, 1986"
137,nm3849842,2019-01-30,2019-01-30,,"Sophie Turner","Game of Thrones","February 21, 1996"
138,nm1002641,2019-01-30,2019-01-30,,"Dominic Cooper","The Devil's Double","June 2, 1978"
139,nm0339460,2019-01-30,2019-01-30,,"Judy Greer","13 Going on 30","July 20, 1975"
140,nm1601397,2019-01-30,2019-01-30,,"Olivia Munn","The Newsroom","July 3, 1980"
141,nm0000131,2019-01-30,2019-01-30,"Used be A-list in the 90's","John Cusack","Grosse Pointe Blank","June 28, 1966"
142,nm1423955,2019-01-30,2019-01-30,,"Lucy Hale","Truth or Dare","June 14, 1989"
143,nm0680983,2019-01-30,2019-01-30,,"Elliot Page","Juno","February 21, 1987"
144,nm2780578,2019-01-30,2019-01-30,,"Yara Shahidi","Salt","February 10, 2000"
145,nm1269983,2019-01-30,2019-01-30,,"Krysten Ritter","Jessica Jones","December 16"
146,nm1325419,2019-01-30,2019-01-30,,"Kristen Wiig","Bridesmaids","August 22, 1973"
147,nm2215143,2019-01-30,2019-01-30,,"Kiernan Shipka","Carriers","November 10, 1999"
148,nm0068260,2019-01-30,2019-01-30,,"Jamie Bell","Billy Elliot","March 14, 1986"
149,nm1176985,2019-01-30,2019-01-30,,"Dave Bautista","Guardians of the Galaxy","January 18, 1969"
150,nm0199215,2019-01-30,2019-01-30,,"Hugh Dancy","Hannibal","June 19, 1975"
151,nm0925220,2019-01-30,2019-01-30,,"Michael Jai White","Black Dynamite","November 10, 1967"
152,nm0704270,2019-01-30,2019-01-30,,"Zachary Quinto","Star Trek","June 2, 1977"
153,nm0000171,2019-01-31,2019-01-31,,"Ashley Judd","Double Jeopardy","April 19, 1968"
154,nm1526352,2019-01-31,2019-01-31,,"Jaimie Alexander","Thor","March 12, 1984"
155,nm0267812,2019-01-31,2019-01-31,,"Vera Farmiga","Up in the Air","August 6, 1973"
156,nm0940362,2019-01-31,2019-01-31,,"Shailene Woodley","Divergent","November 15, 1991"
157,nm0000176,2019-01-31,2019-01-31,,"Nastassja Kinski","Tess","January 24, 1961"
158,nm0388382,2019-01-31,2019-01-31,,"Tyler Hoechlin","Road to Perdition","September 11, 1987"
159,nm1985859,2019-01-31,2019-01-31,,"Mia Wasikowska","Alice in Wonderland","October 25, 1989"
160,nm1263939,2019-01-31,2019-01-31,,"Danielle Panabaker","The Flash","September 19"
161,nm2017943,2019-01-31,2019-01-31,,"Hayley Atwell","Captain America: The First Avenger","April 5, 1982"
162,nm1093951,2019-01-31,2019-01-31,,"Aaron Taylor-Johnson","Nocturnal Animals","June 13, 1990"
163,nm1024677,2019-01-31,2019-01-31,,"John Krasinski","Jack Ryan","October 20, 1979"
164,nm1388927,2019-01-31,2019-01-31,,"Miranda Cosgrove","Despicable Me 2","May 14, 1993"
165,nm0015196,2019-01-31,2019-01-31,,"Malin Akerman","Watchmen","May 12, 1978"
166,nm0000145,2019-01-31,2019-01-31,,"Sherilyn Fenn","Of Mice and Men","February 1, 1965"
167,nm1456970,2019-01-31,2019-01-31,,"Isabel Lucas","Transformers: Revenge of the Fallen","January 29, 1985"
168,nm0200452,2019-01-31,2019-01-31,,"Paul Dano","There Will Be Blood","June 19, 1984"
169,nm1425528,2019-01-31,2019-01-31,,"Aly Michalka","Easy A","March 25, 1989"
170,nm1591496,2019-01-31,2019-01-31,,"Mike Colter","Luke Cage","August 26, 1976"
171,nm0502425,2019-01-31,2019-01-31,,"Melissa Leo","The Fighter","September 14, 1960"
172,nm0913587,2019-02-01,2019-02-01,,"Paul Wesley","Star Trek: Strange New Worlds","July 23"
173,nm0005024,2019-02-01,2019-02-01,,"Terrence Howard","Hustle & Flow","March 11, 1969"
174,nm0607185,2019-02-01,2019-02-01,,"Jennifer Morrison","House M.D.","April 12"
175,nm0000501,2019-02-01,2019-02-01,,"Ray Liotta","GoodFellas","December 18, 1954"
176,nm0001785,2019-02-01,2019-02-01,,"Kristy Swanson","Buffy the Vampire Slayer","December 19, 1969"
177,nm0051509,2019-02-01,2019-02-01,,"Eric Bana","Dirty John","August 9, 1968"
178,nm0277213,2019-02-01,2019-02-01,,"Nathan Fillion","Castle","March 27, 1971"
179,nm0000369,2019-02-01,2019-02-01,,"Matt Dillon","There's Something About Mary","February 18, 1964"
180,nm2652716,2019-02-01,2019-02-01,,"Grant Gustin","The Flash","January 14, 1990"
181,nm3706952,2019-02-01,2019-02-01,,"Crystal Reed","Swamp Thing","February 6"
182,nm0722636,2019-02-01,2019-02-01,,"John Rhys-Davies","The Lord of the Rings: The Return of the King","May 5, 1944"
183,nm0000502,2019-02-01,2019-02-01,,"Christopher Lloyd","Back to the Future","October 22, 1938"
184,nm0000461,2019-02-01,2019-02-01,,"Michael Ironside","Starship Troopers","February 12, 1950"
185,nm0517820,2019-02-01,2019-02-01,,"Lindsay Lohan","The Parent Trap","July 2, 1986"
186,nm0000448,2019-02-01,2019-02-01,,"Lance Henriksen","Aliens","May 5, 1940"
187,nm0000387,2019-02-01,2019-02-01,,"Robert Englund","A Nightmare on Elm Street","June 6, 1947"
188,nm0000374,2019-02-01,2019-02-01,,"Brad Dourif","One Flew Over the Cuckoo's Nest","March 18, 1950"
189,nm0001604,2019-02-01,2019-02-01,,"Nia Peeples","Fame","December 10, 1961"
190,nm2605345,2019-02-01,2019-02-01,,"Gemma Arterton","Prince of Persia: The Sands of Time","February 2, 1986"
191,nm0000449,2019-02-05,2019-02-05,,"Natasha Henstridge","Species","August 15, 1974"
192,nm0322407,2019-02-05,2019-02-05,,"Brendan Gleeson","Calvary","March 29, 1955"
193,nm0000610,2019-02-05,2019-02-05,,"Giovanni Ribisi","Boiler Room","December 17, 1974"
194,nm0000401,2019-02-05,2019-02-05,,"Laurence Fishburne","The Matrix","July 30, 1961"
195,nm0479471,2019-02-05,2019-02-05,,"Shia LaBeouf","Honey Boy","June 11"
196,nm2765384,2019-02-05,2019-02-05,,"Candice Patton","The Flash","June 24, 1985"
197,nm0206257,2019-02-05,2019-02-05,,"Rosario Dawson","Rent","May 9, 1979"
198,nm0000427,2019-02-05,2019-02-05,,"Pam Grier","Jackie Brown","May 26, 1949"
199,nm0000495,2020-07-25,2020-07-25,,"Téa Leoni","The Family Man","February 25, 1966"
200,nm0001751,2020-07-25,2020-07-25,,"Jimmy Smits","Star Wars: Episode III - Revenge of the Sith","July 9, 1955"
201,nm0000616,2020-07-25,2020-07-25,,"Eric Roberts","Runaway Train","April 18, 1956"
202,nm0001209,2020-07-25,2020-07-25,,"William Fichtner","Crash","November 27, 1956"
203,nm0005502,2020-07-25,2020-07-25,,"Michelle Trachtenberg","Buffy the Vampire Slayer","October 11, 1985"
204,nm0000225,2020-07-25,2020-07-25,,"Christian Slater","Very Bad Things","August 18, 1969"
205,nm0429363,2020-07-25,2020-07-25,,"Toby Jones","Tinker Tailor Soldier Spy","September 7, 1966"
206,nm0126284,2020-07-25,2020-07-25,,"Rose Byrne","Spy","July 24, 1979"
207,nm2239702,2020-07-25,2020-07-25,,"Katherine Waterston","Inherent Vice","March 3, 1980"
208,nm0046112,2020-07-25,2020-07-25,,"Penn Badgley","You","November 1, 1986"
209,nm0933940,2020-09-04,2020-09-04,,"Patrick Wilson","The Phantom of the Opera","July 3, 1973"
210,nm1854386,2020-09-04,2020-09-04,,"Stephen Amell","Arrow","May 8, 1981"
211,nm2560043,2020-09-04,2020-09-04,,"Adelaide Kane","The Purge","August 9, 1990"
212,nm2645189,2020-09-04,2020-09-04,,"Shelley Hennig","Unfriended","January 2, 1987"
213,nm1555699,2020-09-04,2020-09-04,,"Holland Roden","Teen Wolf","October 7, 1986"
214,nm2913275,2020-09-04,2020-09-04,,"Debby Ryan","Insatiable","May 13, 1993"
215,nm1745736,2020-09-04,2020-09-04,,"Paula Patton","Precious","December 5, 1975"
216,nm0240381,2020-09-04,2020-09-04,,"Hilary Duff","A Cinderella Story","September 28, 1987"
217,nm0000563,2020-09-04,2020-09-04,,"Chris O'Donnell","Batman & Robin","June 26, 1970"
218,nm0813812,2020-09-04,2020-09-04,,"Ian Somerhalder","The Vampire Diaries","December 8, 1978"
219,nm0000117,2020-09-04,2020-09-04,,"Neve Campbell","Scream","October 3, 1973"
220,nm0000144,2020-09-04,2020-09-04,,"Cary Elwes","Saw","October 26, 1962"
221,nm0115161,2020-09-04,2020-09-04,,"Emily Browning","A Series of Unfortunate Events","December 7, 1988"
222,nm1072555,2020-09-04,2020-09-04,,"Morena Baccarin","Deadpool","June 2, 1979"
223,nm0358316,2020-09-08,2020-09-08,,"Jon Hamm","Mad Men","March 10, 1971"
224,nm0893257,2020-09-08,2020-09-08,,"Milo Ventimiglia","Heroes","July 8, 1977"
225,nm0584951,2020-09-08,2020-09-08,,"Lea Michele","Glee","August 29, 1986"
226,nm0342488,2020-09-08,2020-09-08,,"Rupert Grint","Harry Potter and the Philosopher's Stone","August 24, 1988"
227,nm0000529,2020-09-08,2020-09-08,,"Debi Mazar","Empire Records","August 13, 1964"
228,nm0000579,2020-09-08,2020-09-08,,"Ron Perlman","Hand of God","April 13, 1950"
229,nm0001439,2020-09-08,2020-09-08,,"Anthony LaPaglia","Without a Trace","January 31, 1959"
230,nm0001427,2020-09-08,2020-09-08,,"Greg Kinnear","As Good as It Gets","June 17, 1963"
231,nm0000554,2020-09-08,2020-09-08,,"Sam Neill","Jurassic Park","September 14, 1947"
232,nm0005148,2020-09-09,2020-09-09,,"Delroy Lindo","Get Shorty","November 18, 1952"
233,nm0005042,2020-09-09,2020-09-09,,"Jason Isaacs","Harry Potter and the Chamber of Secrets","June 6, 1963"
234,nm2812026,2020-09-09,2020-09-09,,"Nathalie Emmanuel","Fast & Furious 7","March 2, 1989"
235,nm0001573,2020-09-09,2020-09-09,,"Catherine O'Hara","A Mighty Wind","March 4, 1954"
236,nm0151419,2020-09-09,2020-09-09,,"Kyle Chandler","Argo","September 17, 1965"
237,nm0614165,2020-09-09,2020-09-09,,"Cillian Murphy","28 Days Later","May 25, 1976"
238,nm0000389,2020-09-09,2020-09-09,,"Emilio Estevez","The Way","May 12, 1962"
239,nm0001875,2020-09-10,2020-09-10,,"Anthony Zerbe","The Omega Man","May 20, 1936"
240,nm0001602,2020-09-10,2020-09-10,,"Guy Pearce","Memento","October 5, 1967"
241,nm0000409,2020-09-10,2020-09-10,,"Brendan Fraser","The Mummy","December 3, 1968"
242,nm1113550,2020-09-10,2020-09-10,,"Abigail Breslin","Little Miss Sunshine","April 14, 1996"
243,nm0788335,2020-09-10,2020-09-10,,"Michael Shannon","Take Shelter","August 7, 1974"
244,nm0000704,2020-09-10,2020-09-10,,"Elijah Wood","The Lord of the Rings: The Fellowship of the Ring","January 28, 1981"
245,nm0000276,2020-09-10,2020-09-10,,"Sean Astin","The Lord of the Rings: The Two Towers","February 25, 1971"
246,nm0935541,2020-09-10,2020-09-10,,"Mary Elizabeth Winstead","10 Cloverfield Lane","November 28, 1984"
247,nm1935086,2020-09-10,2020-09-10,,"Tessa Thompson","Creed","October 3, 1983"
248,nm0005110,2020-09-10,2020-09-10,,"Ashton Kutcher","That '70s Show","February 7, 1978"
249,nm0001073,2020-09-11,2020-09-11,,"Courteney Cox","Friends","June 15, 1964"
250,nm0000174,2020-09-11,2020-09-11,,"Val Kilmer","The Doors","December 31, 1959"
251,nm0001147,2020-09-11,2020-09-11,,"Shannen Doherty","Beverly Hills, 90210","April 12, 1971"
252,nm0663469,2020-09-11,2020-09-11,,"Lana Parrilla","Once Upon a Time","July 15, 1977"
253,nm2796047,2020-09-11,2020-09-11,,"Josh Dallas","Thor","December 18, 1978"
254,nm0005458,2020-09-11,2020-09-11,,"Jason Statham","Crank","July 26, 1967"
255,nm0000681,2020-09-11,2020-09-11,,"Vince Vaughn","The Break-Up","March 28, 1970"
256,nm0004898,2020-09-11,2020-09-11,,"Omar Epps","House M.D.","July 20, 1973"
257,nm0001834,2020-09-15,2020-09-15,,"Damon Wayans","My Wife and Kids","September 4, 1960"
258,nm0000284,2020-09-15,2020-09-15,,"Adam Baldwin","Serenity","February 27, 1962"
259,nm0000439,2020-09-15,2020-09-15,,"Neil Patrick Harris","A Series of Unfortunate Events","June 15, 1973"
260,nm0268199,2020-09-15,2020-09-15,,"Colin Farrell","The Lobster","May 31, 1976"
261,nm0829576,2020-09-15,2020-09-15,,"Kristen Stewart","The Twilight Saga: Eclipse","April 9, 1990"
262,nm0000552,2020-09-15,2020-09-15,,"Eddie Murphy","Harlem Nights","April 3, 1961"
263,nm0000232,2020-09-15,2020-09-15,"Used be A-list","Sharon Stone","Basic Instinct","March 10, 1958"
264,nm4855517,2022-08-17,2022-08-17,,"Simu Liu","Shang-Chi and the Legend of the Ten Rings","April 19, 1989"
265,nm4399227,2022-08-17,2022-08-17,,"Ali Wong","Ali Wong: Baby Cobra","April 19, 1982"
266,nm0628601,2022-08-17,2022-08-17,,"Thandiwe Newton","Crash","November 6, 1972"
267,nm0000706,2022-08-17,2022-08-17,,"Michelle Yeoh","Everything Everywhere All at Once","August 6, 1962"
268,nm6525901,2022-08-17,2022-08-17,,"Henry Golding","Crazy Rich Asians","February 5, 1987"
269,nm3929887,2022-08-17,2022-08-17,,"Lili Reinhart","Riverdale","September 13, 1996"
270,nm5584750,2022-08-17,2022-08-17,,"Sadie Sink","Stranger Things","April 16, 2002"
271,nm6216001,2022-08-17,2022-08-17,,"KJ Apa","Riverdale","June 17, 1997"
272,nm0324658,2023-03-14,2023-03-14,,"Walton Goggins","Justified","November 10, 1971"
273,nm0175916,2023-03-14,2023-03-14,,"Paddy Considine","Dead Man's Shoes","September 5, 1973"
274,nm0574534,2023-03-14,2023-03-14,,"Ian McShane","Deadwood","September 29, 1942"
275,nm0000619,2023-03-14,2023-03-14,,"Tim Roth","Rob Roy","May 14, 1961"
276,nm0001803,2023-03-14,2023-03-14,,"Danny Trejo","Machete","May 16, 1944"
277,nm0202966,2023-03-14,2023-03-14,,"Keith David","The Princess and the Frog","June 4, 1956"
278,nm0000667,2023-03-14,2023-03-14,,"David Thewlis","Naked","March 20, 1963"
279,nm0648249,2023-03-14,2023-03-14,,"Timothy Olyphant","Justified","May 20, 1968"
280,nm0001705,2023-03-14,2023-03-14,,"Rob Schneider","Deuce Bigalow: Male Gigolo","October 31, 1963"
