A
Beverly Aadland 1942–2010[1]
"Mariann Aalda born May 7, 1948 (age 77)[2]"
"Paget Brewster born March 10, 1969 (age 56)"
"Chloe Bridges born December 27, 1991 (age 33)"
"Alison Brie born December 29, 1982 (age 42)"
"Connie Britton born March 6, 1967 (age 58)"
Pamela Britton 1923–1974
"Beth Broderick born February 24, 1959 (age 66)"
"Jayne Brook born September 16, 1960 (age 64)"
Geraldine Brooks 1925–1977
Louise Brooks 1906–1985
"Blair Brown born April 23, 1946 (age 79)"
Chelsea Brown 1942–2017
"Kimberlin Brown born June 29, 1961 (age 64)"
"Kimberly J. Brown born November 16, 1984 (age 40)"
"Olivia Brown born April 10, 1960 (age 65)"
Pat Crawford Brown 1925–2019
Vanessa Brown 1928–1999
"Yvette Nicole Brown born August 12, 1971 (age 53)"
"Leslie Browne born June 29, 1957 (age 68)"
"Logan Browning born June 9, 1989 (age 36)"
"Sabrina Bryan born September 16, 1984 (age 40)"
"Joy Bryant born October 18, 1974 (age 50)"
Nana Bryant 1888-1955
"Tara Buck born March 16, 1975 (age 50)"
"Kira Buckland born July 16, 1987 (age 38)"
"Betty Buckley born July 3, 1947 (age 78)"
"Sandra Bullock born July 26, 1964 (age 61)"
"Cara Buono born March 1, 1974 (age 51)"
"Candace Cameron Bure born April 6, 1976 (age 49)"
Billie Burke 1884–1970
"Delta Burke born July 30, 1956 (age 68)"
"Marylouise Burke born January 20, 1941 (age 84)"
"Carol Burnett born April 26, 1933 (age 92)"
"Brooke Burns born March 16, 1978 (age 47)"
Catherine Burns 1945-2019
"Heather Burns born April 7, 1975 (age 50)"
"Ellen Burstyn born December 7, 1932 (age 92)"
"Hilarie Burton born July 1, 1982 (age 43)"
"Kate Burton born September 10, 1957 (age 67)"
"Sophia Bush born July 8, 1982 (age 43)"
"Michelle Buteau born July 24, 1977 (age 48)"
"Brett Butler born January 30, 1958 (age 67)"
"Yancy Butler born July 2, 1970 (age 55)"
Ruth Buzzi 1936–2025
Spring Byington 1886–1971
"Amanda Bynes born April 3, 1986 (age 39)"
Marion Byron 1911–1985
C
Jeanne Cagney 1919–1984
"Erin Cahill born January 4, 1980 (age 45)"
"L. Scott Caldwell born April 17, 1950 (age 75)"
Alice Calhoun 1900–1966
"Monica Calhoun born July 29, 1971 (age 53)"
"K Callan born January 9, 1936 (age 89)"
"Sarah Wayne Callies born June 1, 1977 (age 48)"
"Vanessa Bell Calloway born March 20, 1957 (age 68)"
"Anna Camp born September 27, 1982 (age 42)"
"Colleen Camp born June 7, 1953 (age 72)"
"Christa Campbell born December 7, 1972 (age 52)"
"Danielle Campbell born January 30, 1995 (age 30)"
"Maia Campbell born November 26, 1976 (age 48)"
"Tisha Campbell born October 13, 1968 (age 56)"
"Maria Canals-Barrera born September 28, 1966 (age 58)"
"Dyan Cannon born January 4, 1937 (age 88)"
Judy Canova 1913–1983
"Kylie Cantrall born June 25, 2005 (age 20)"
"Francesca Capaldi born June 8, 2004 (age 21)"
"Lizzy Caplan born June 30, 1982 (age 43)"
"Jessica Capshaw born August 9, 1976 (age 48)"
"Kate Capshaw born November 3, 1953 (age 71)"
Irene Cara 1959–2022
"Gina Carano born April 16, 1982 (age 43)"
Kathryn Card 1892–1964
"Linda Cardellini born June 25, 1975 (age 50)"
"Clare Carey born June 11, 1967 (age 58) (born in Rhodesia)"
"Mariah Carey born March 27, 1969 (age 56)"
"Lynn Carlin born January 31, 1938 (age 87)"
Kitty Carlisle 1910–2007
"Amy Carlson born July 7, 1968 (age 57)"
"Kelly Carlson born February 17, 1976 (age 49)"
Jeanne Carmen 1930–2007
"Julie Carmen born April 4, 1954 (age 71)"
Sue Carol 1906–1982
"Charisma Carpenter born July 23, 1970 (age 55)"
"Jennifer Carpenter born December 7, 1979 (age 45)"
"Sabrina Carpenter born May 11, 1999 (age 26)"
Charmian Carr 1942-2016
"Ever Carradine born August 6, 1974 (age 50)"
"Barbara Carrera born December 31, 1945 (age 79) or 1944, or 1946, or 1951 (born in Nicaragua)"
"Tia Carrere born January 2, 1967 (age 58)"
Diahann Carroll 1935–2019
"Madeline Carroll born March 18, 1996 (age 29)"
Nancy Carroll 1903–1965
Pat Carroll 1927–2022
Dixie Carter 1939–2010
"Lynda Carter born July 24, 1951 (age 74)"
"Gabrielle Carteris born January 2, 1961 (age 64)"
"Angela Cartwright born September 9, 1952 (age 72) (English-born)"
"Veronica Cartwright born April 20, 1949 (age 76) (British-born)"
Adriana Caselotti 1916-1997
Rosalind Cash 1938–1995
Peggy Cass 1924–1999
"Joanna Cassidy born August 2, 1945 (age 79)"
"Katie Cassidy born November 25, 1986 (age 38)"
Peggie Castle 1927–1973
"Shanley Caswell born December 3, 1991 (age 33)"
"Phoebe Cates born July 16, 1963 (age 62)"
"Kim Cattrall born August 21, 1956 (age 68) (British-born)"
"Jessica Cauffiel born March 30, 1976 (age 49)"
"Emma Caulfield born April 8, 1973 (age 52)"
Joan Caulfield 1922–1991
"Kristin Cavallari born January 5, 1987 (age 38)"
"Lacey Chabert born September 30, 1982 (age 42)"
"Faune Chambers born September 23, 1976 (age 48)"
Carol Channing 1921–2019
"Stockard Channing born February 13, 1944 (age 81)"
"Rosalind Chao born September 23, 1957 (age 67)"
Cyd Charisse 1922–2008
Annette Charles 1948–2011
"Daveigh Chase born July 24, 1990 (age 35)"
"Jessica Chastain born March 24, 1977 (age 48)"
Ruth Chatterton 1892–1961
"Molly Cheek born March 2, 1950 (age 75)"
"Kristin Chenoweth born July 24, 1968 (age 57)"
"Cher born May 20, 1946 (age 79)"
"Vanessa Lee Chester born July 2, 1984 (age 41)"
"Lois Chiles born April 15, 1947 (age 78)"
"Anna Chlumsky born December 3, 1980 (age 44)"
"Margaret Cho born December 5, 1968 (age 56)"
"Erika Christensen born August 19, 1982 (age 42)"
"Claudia Christian born August 10, 1965 (age 59)"
"Jamie Chung born April 10, 1983 (age 42)"
Marguerite Churchill 1910–2000
"Ciara born October 25, 1985 (age 39)"
"Candy Clark born June 20, 1947 (age 78)"
Judy Clark 1924–2002
"Melinda Clarke born April 24, 1969 (age 56)"
"Sarah Clarke born February 16, 1972 (age 53)"
"Patricia Clarkson born December 29, 1959 (age 65)"
Jill Clayburgh 1944–2010
"Kiersey Clemons born December 17, 1993 (age 31)"
"Colleen Clinkenbeard born April 13, 1980 (age 45)"
Rosemary Clooney 1928–2002
"Glenn Close born March 19, 1947 (age 78)"
Imogene Coca 1908–2001
"Annalisa Cochrane born June 21, 1996 (age 29)"
"Lauren Cohan born January 7, 1982 (age 43) (British-born)"
Lynn Cohen 1933–2020
"Mindy Cohn born May 20, 1966 (age 59)"
Claudette Colbert 1903–1996
"Taylor Cole born April 29, 1984 (age 41)"
"Tina Cole born August 4, 1943 (age 81)"
"Holliston Coleman born June 30, 1992 (age 33)"
"Monique Coleman born November 13, 1980 (age 44)"
"Kim Coles born January 11, 1962 (age 63)"
Patricia Collinge 1892–1974
"Lily Collins born March 18, 1989 (age 36) (British-American)"
"Lynn Collins born May 16, 1977 (age 48)"
"Holly Marie Combs born December 3, 1973 (age 51)"
"Anjanette Comer born August 7, 1939 (age 85)"
Dorothy Comingore 1913–1971
Betty Compson 1897–1974
"Mattea Conforti born May 22, 2006 (age 19)"
"Michaela Conlin born June 9, 1978 (age 47)"
"Jennifer Connelly born December 12, 1970 (age 54)"
"Kristen Connolly born July 12, 1980 (age 45)"
Carole Cook 1924–2023
"Rachael Leigh Cook born October 4, 1979 (age 45)"
"Jennifer Coolidge born August 28, 1961 (age 63)"
"Calico Cooper born May 19, 1981 (age 44)"
Ellen Corby 1911–1999
Mara Corday 1930-2025
"Didi Conn born July 13, 1951 (age 74)"
"Maddie Corman born August 15, 1970 (age 54)"
"Carrie Coon born January 24, 1981 (age 44)"
"Miranda Cosgrove born May 14, 1993 (age 32)"
"Mary Costa born April 5, 1930 (age 95)"
Dolores Costello 1903–1979
"Stephanie Courtney born February 8, 1970 (age 55)"
Jane Cowl 1883–1950
"Courteney Cox born June 15, 1964 (age 61)"
"Laverne Cox born May 29, 1972 (age 53)"
"Nikki Cox born June 2, 1978 (age 47)"
Carolyn Craig 1934–1970
Yvonne Craig 1937–2015
Jeanne Crain 1925–2003
"Barbara Crampton born December 27, 1958 (age 66)"
Norma Crane 1928–1973
Joan Crawford c. 1904–1977
"Cathy Lee Crosby born December 2, 1944 (age 80)"
"Denise Crosby born November 24, 1957 (age 67)"
"Mary Crosby born September 14, 1959 (age 65)"
"Marcia Cross born March 25, 1962 (age 63)"
"Lindsay Crouse born May 12, 1948 (age 77)"
"Gia Crovatin born November 30, 1985 (age 39)"
"Suzanne Cryer born January 13, 1967 (age 58)"
"Olivia Culpo born May 8, 1992 (age 33)"
Constance Cummings 1910–2005
"Erin Cummings born July 19, 1977 (age 48)"
"Quinn Cummings born August 13, 1967 (age 57)"
"Kaley Cuoco born November 30, 1985 (age 39)"
"Jane Curtin born September 6, 1947 (age 77)"
"Jamie Lee Curtis born November 22, 1958 (age 66)"
"Ann Cusack born May 22, 1961 (age 64)"
"Joan Cusack born October 11, 1962 (age 62)"
"Tawny Cypress born August 8, 1976 (age 48)"
"Miley Cyrus born November 23, 1992 (age 32)"
D
"Caroline D'Amore born June 9, 1984 (age 41)"
"Beverly D'Angelo born November 15, 1951 (age 73)"
"Patti D'Arbanville born May 25, 1951 (age 74)"
"Donna D'Errico born March 30, 1968 (age 57)"
"Shae D'lyn born November 24, 1963 (age 61)"
"Yaya DaCosta born November 15, 1982 (age 42)"
"Alexandra Daddario born March 16, 1986 (age 39)"
Arlene Dahl 1925–2021
Irene Dailey 1920–2008
"E. G. Daily born September 11, 1961 (age 63)"
"Nadia Dajani born October 26, 1965 (age 59)"
Abby Dalton 1932–2020
"Tyne Daly born February 21, 1946 (age 79)"
Gwen Van Dam 1928–2024
Dorothy Dandridge 1922–1965
"Claire Danes born April 12, 1979 (age 46)"
"Shera Danese born October 9, 1949 (age 75)"
"Brittany Daniel born March 17, 1976 (age 49)"
Bebe Daniels 1901–1971
"Erin Daniels born October 9, 1973 (age 51)"
"Sarah E. Daniels born August 1, 1989 (age 35)"
"Blythe Danner born February 3, 1943 (age 82)"
Candy Darling 1944–1974
Linda Darnell 1923–1965
"Lisa Darr born April 21, 1963 (age 62)"
Jane Darwell 1879–1967
"Stacey Dash born January 20, 1967 (age 58)"
"Alexa Davalos born May 28, 1982 (age 43)"
"Amy Davidson born September 15, 1979 (age 45)"
Ann B. Davis 1926–2014
Bette Davis 1908–1989
"Carole Davis born February 17, 1958 (age 67)"
"Dana Davis born October 4, 1978 (age 46)"
"Geena Davis born January 21, 1956 (age 69)"
"Hope Davis born March 23, 1964 (age 61)"
"Josie Davis born January 16, 1973 (age 52)"
"Kristin Davis born February 23, 1965 (age 60)"
Phyllis Davis 1940–2013
"Viola Davis born August 11, 1965 (age 59)"
"Embeth Davidtz born August 11, 1965 (age 59)"
"Pam Dawber born October 18, 1951 (age 73)"
"Rosario Dawson born May 9, 1979 (age 46)"
"Roxann Dawson born September 11, 1958 (age 66)"
Doris Day 1922–2019
"Felicia Day born June 28, 1979 (age 46)"
Marceline Day 1908–2000
Priscilla Dean 1896–1987
Rosemary DeCamp 1910–2001
Yvonne De Carlo 1922–2007
"Brooklyn Decker born April 12, 1987 (age 38)"
Frances Dee 1909–2004
Ruby Dee 1922–2014
Sandra Dee 1942–2005
"Kaylee DeFer born September 23, 1986 (age 38)"
"Ellen DeGeneres born January 26, 1958 (age 67)"
Gloria DeHaven 1925–2016
Olivia de Havilland 1916–2020
Nicole DeHuff 1975–2005
"Wanda De Jesus born August 26, 1958 (age 66)"
"Paz de la Huerta born September 3, 1984 (age 40)"
Dolores del Río 1904-1983 (Mexican-born)
"Allie DeBerry born October 26, 1994 (age 30)"
"Kate del Castillo born October 23, 1972 (age 52) (Mexican-born)"
"Kim Delaney born November 29, 1961 (age 63)"
Diane Delano 1957-2024
"Dana Delany born March 13, 1956 (age 69)"
"Idalis DeLeón born June 15, 1969 (age 56)"
"Grey DeLisle born August 24, 1973 (age 51)"
"Alycia Delmore born October 4, 1977 (age 47)"
"Julie Delpy born December 21, 1969 (age 55) (French-born)"
"Drea de Matteo born January 19, 1972 (age 53)"
"Rebecca De Mornay born August 29, 1959 (age 65)"
Carol Dempster 1901–1991
"Lori Beth Denberg born February 2, 1976 (age 49)"
"Kat Dennings born June 13, 1986 (age 39)"
Sandy Dennis 1937–1992
"Bo Derek born November 20, 1956 (age 68)"
"Laura Dern born February 10, 1967 (age 58)"
"Portia de Rossi born January 31, 1973 (age 52) (Australian-born)"
"Donna D'Errico born March 30, 1968 (age 57)"
"Melissa De Sousa born September 25, 1967 (age 57)"
"Emily Deschanel born October 11, 1976 (age 48)"
"Mary Jo Deschanel born November 25, 1945 (age 79)"
"Zooey Deschanel born January 17, 1980 (age 45)"
"Amanda Detmer born September 27, 1971 (age 53)"
"Madelyn Deutch born March 23, 1991 (age 34)"
"Zoey Deutch born November 10, 1994 (age 30)"
Patti Deutsch 1943–2017
"Kaitlyn Dever born December 21, 1996 (age 28)"
"Loretta Devine born August 21, 1949 (age 75)"
"Torrey DeVitto born June 8, 1984 (age 41)"
"Jenna Dewan born December 3, 1980 (age 44)"
"Joyce DeWitt born April 23, 1949 (age 76)"
"Rosemarie DeWitt born October 26, 1971 (age 53)"
"Noureen DeWulf born February 28, 1984 (age 41)"
"Susan Dey born December 10, 1952 (age 72)"
"Alyssa Diaz born September 7, 1985 (age 39)"
"Cameron Diaz born August 30, 1972 (age 52)"
"Melonie Diaz born April 25, 1984 (age 41)"
"Kim Dickens born June 18, 1965 (age 60)"
"Angie Dickinson born September 30, 1931 (age 93)"
Marlene Dietrich 1901–1992
"Victoria Dillard born September 20, 1969 (age 55)"
Phyllis Diller 1917–2012
Melinda Dillon 1939–2023
"Mia Dillon born July 9, 1955 (age 70)"
Jean Dixon 1893-1981
"Donna Dixon born July 20, 1957 (age 68)"
"Maria Dizzia born December 29, 1974 (age 50)"
"Megan Dodds born September 20, 1970 (age 54)"
Shannen Doherty 1971–2024
"Ami Dolenz born January 8, 1969 (age 56)"
"Dagmara Dominczyk born July 17, 1976 (age 49) (born in Poland)"
"Elinor Donahue born April 19, 1937 (age 88)"
"Jocelin Donahue born November 8, 1981 (age 43)"
"Elisa Donovan born February 3, 1971 (age 54)"
Ann Doran 1911-2000
"Kaitlin Doubleday born July 19, 1984 (age 41)"
"Portia Doubleday born June 22, 1988 (age 37)"
Donna Douglas 1932–2015
"Illeana Douglas born July 25, 1965 (age 60)"
Suzzanne Douglas 1957–2021
"Robyn Douglass born June 21, 1953 (age 72) (born in Japan)"
"Fiona Dourif born October 30, 1981 (age 43)"
Billie Dove 1903–1997
"Ann Dowd born January 30, 1956 (age 69)"
Doris Dowling 1923–2004
Denise Dowse 1958–2022
"Polly Draper born June 15, 1955 (age 70)"
"Rachel Dratch born February 22, 1966 (age 59)"
"Fran Drescher born September 30, 1957 (age 67)"
Louise Dresser 1878–1965
Marie Dressler 1868–1934
Ellen Drew 1915–2003
"Minnie Driver born January 31, 1970 (age 55) (British-born)"
Joanne Dru 1922–1996
Alice Drummond 1928–2016
Ja'Net DuBois 1932–2020
"Heather Dubrow born January 6, 1969 (age 56)"
"Anne Dudek born March 22, 1975 (age 50)"
"Haylie Duff born February 19, 1985 (age 40)"
"Hilary Duff born September 28, 1987 (age 37)"
"Julia Duffy born June 27, 1951 (age 74)"
"Karen Duffy born May 23, 1962 (age 63)"
Olympia Dukakis 1931–2021
Patty Duke 1946–2016
"Faye Dunaway born January 14, 1941 (age 84)"
"Jennifer Dundas born January 14, 1971 (age 54)"
"Christine Dunford born December 4, 1968 (age 56)"
Dominique Dunne 1959–1982
Irene Dunne 1898–1990
Mildred Dunnock 1901–1991
"Kirsten Dunst born April 30, 1982 (age 43)"
"Tiffany Dupont born March 22, 1981 (age 44)"
"Eliza Dushku born December 30, 1980 (age 44)"
"Clea DuVall born September 25, 1977 (age 47)"
Shelley Duvall 1949–2024
Ann Dvorak 1911–1979
"Natalia Dyer born January 13, 1995 (age 30)"
"Alexis Dziena born July 8, 1984 (age 41)"
E
Jeanne Eagels 1890–1929
