Position,Const,Created,Modified,Description,Name,Known For,Birth Date
21,nm0000215,2013-08-28,2013-08-28,,"Susan Sarandon","Thelma & Louise","October 4, 1946"
22,nm0000204,2013-08-28,2013-08-28,,"Natalie Portman","Black Swan","June 9, 1981"
23,nm0000234,2013-08-28,2013-08-28,,"Charlize Theron","Monster","August 7, 1975"
24,nm0000473,2013-08-28,2013-08-28,,"Diane Keaton","Annie Hall","January 5, 1946"
25,nm0005476,2013-08-28,2013-08-28,,"Hilary Swank","Million Dollar Baby","July 30, 1974"
26,nm0000107,2013-08-28,2013-08-28,,"Kim Basinger","L.A. Confidential","December 8, 1953"
27,nm0000178,2013-08-28,2013-08-28,,"Diane Lane","Unfaithful","January 22, 1965"
28,nm0000702,2013-08-28,2013-08-28,,"Reese Witherspoon","Wild","March 22, 1976"
29,nm0000545,2013-08-28,2013-08-28,,"Helen Mirren","The Queen","July 26, 1945"
30,nm0000701,2013-08-28,2013-08-28,,"Kate Winslet","Eternal Sunshine of the Spotless Mind","October 5, 1975"
31,nm0000244,2013-08-28,2013-08-28,,"Sigourney Weaver","Alien: Resurrection","October 8, 1949"
32,nm0000307,2013-08-28,2013-08-28,,"Helena Bonham Carter","Sweeney Todd: The Demon Barber of Fleet Street","May 26, 1966"
33,nm0000235,2013-08-28,2013-08-28,,"Uma Thurman","Kill Bill: Vol. 1","April 29, 1970"
34,nm0842770,2013-08-28,2013-08-28,,"Tilda Swinton","We Need to Talk About Kevin","November 5, 1960"
35,nm0000566,2013-08-28,2013-08-28,,"Julia Ormond","Sabrina","January 4, 1965"
36,nm0000404,2013-08-28,2013-08-28,,"Jane Fonda","Klute","December 21, 1937"
37,nm0000603,2013-08-28,2013-08-28,,"Vanessa Redgrave","Atonement","January 30, 1937"
38,nm0000906,2013-08-28,2013-08-28,,"Annette Bening","American Beauty","May 29, 1958"
39,nm0000511,2013-08-28,2013-08-28,,"Shirley MacLaine","Terms of Endearment","April 24, 1934"
40,nm0000212,2013-08-28,2013-08-28,,"Meg Ryan","When Harry Met Sally...","November 19, 1961"
41,nm1208167,2013-08-30,2013-08-30,,"Diane Kruger","Inglourious Basterds","July 15, 1976"
42,nm0001876,2013-08-30,2013-08-30,,"Catherine Zeta-Jones","Chicago","September 25, 1969"
43,nm0000572,2013-08-30,2013-08-30,,"Sarah Jessica Parker","Sex and the City","March 25, 1965"
44,nm0000159,2013-08-30,2013-08-30,,"Teri Hatcher","Tomorrow Never Dies","December 8, 1964"
45,nm0001473,2013-08-30,2013-08-30,,"Laura Linney","The Big C","February 5, 1964"
46,nm0000531,2013-08-30,2013-08-30,,"Frances McDormand","Fargo","June 23, 1957"
47,nm0000139,2013-08-30,2013-08-30,,"Cameron Diaz","Charlie's Angels","August 30, 1972"
48,nm0424060,2013-08-30,2013-08-30,,"Scarlett Johansson","Lost in Translation","November 22, 1984"
49,nm0004851,2013-08-30,2013-08-30,,"Penélope Cruz","Vicky Cristina Barcelona","April 28, 1974"
50,nm0001512,2013-08-30,2013-08-30,,"Mary Elizabeth Mastrantonio","The Abyss","November 17, 1958"
51,nm0001416,2013-08-30,2013-08-30,,"Catherine Keener","Being John Malkovich","March 26, 1959"
52,nm0000593,2013-08-30,2013-08-30,,"Kelly Preston","Battlefield Earth","October 13, 1962"
53,nm0000250,2013-08-30,2013-08-30,,"Renée Zellweger","Chicago","April 25, 1969"
54,nm0000300,2013-08-30,2013-08-30,,"Juliette Binoche","The English Patient","March 9, 1964"
55,nm0000218,2013-08-30,2013-08-30,,"Kristin Scott Thomas","Gosford Park","May 24, 1960"
56,nm0004742,2013-08-30,2013-08-30,,"Maria Bello","A History of Violence","April 18, 1967"
57,nm0001201,2013-08-30,2013-08-30,,"Mia Farrow","Rosemary's Baby","February 9, 1945"
58,nm0000659,2013-08-30,2013-08-30,,"Barbra Streisand","Funny Girl","April 24, 1942"
59,nm0000360,2013-08-30,2013-08-30,,"Rebecca De Mornay","The Hand That Rocks the Cradle","August 29, 1959"
60,nm0001838,2013-08-30,2013-08-30,,"Rachel Weisz","The Constant Gardener","March 7, 1970"
61,nm0931329,2013-08-30,2013-08-30,,"Michelle Williams","Blue Valentine","September 9, 1980"
62,nm0010736,2013-08-30,2013-08-30,,"Amy Adams","Arrival","August 20, 1974"
63,nm0000569,2013-09-02,2013-09-02,,"Gwyneth Paltrow","Shakespeare in Love","September 27, 1972"
64,nm0000213,2013-09-08,2013-09-08,,"Winona Ryder","Alien: Resurrection","October 29, 1971"
65,nm0001648,2013-09-26,2013-09-26,,"Charlotte Rampling","45 Years","February 5, 1946"
66,nm0005466,2013-09-26,2013-09-26,,"Julia Stiles","10 Things I Hate About You","March 28, 1981"
67,nm1519680,2013-10-06,2013-10-06,,"Saoirse Ronan","Hanna","April 12, 1994"
68,nm0000870,2013-10-12,2013-10-12,,"Kathy Bates","Misery","June 28, 1948"
69,nm0001315,2013-10-20,2013-10-20,"Parkland (2013), Amanda Knox: Murder on Trial in Italy (2011)","Marcia Gay Harden","Mystic River","August 14, 1959"
70,nm1567113,2013-10-20,2013-10-20,"Lawless (2012)","Jessica Chastain","Zero Dark Thirty","March 24, 1977"
71,nm0000673,2013-10-21,2013-10-21,,"Marisa Tomei","My Cousin Vinny","December 4, 1964"
72,nm0000096,2013-10-21,2013-10-21,,"Gillian Anderson","The X Files","August 9, 1968"
73,nm0001349,2013-10-21,2013-10-21,,"Jennifer Love Hewitt","I Know What You Did Last Summer","February 21, 1979"
74,nm0000899,2013-10-21,2013-10-21,,"Monica Bellucci","Malèna","September 30, 1964"
75,nm0005028,2013-10-21,2013-10-21,,"Kate Hudson","Almost Famous","April 19, 1979"
76,nm0182839,2013-10-21,2013-10-21,,"Marion Cotillard","Inception","September 30, 1975"
77,nm0640323,2013-10-21,2013-10-21,,"Frances O'Connor","Emily","June 12"
78,nm0000775,2013-10-21,2013-10-21,,"Christina Applegate","Don't Tell Mom the Babysitter's Dead","November 25, 1971"
79,nm1289434,2013-10-21,2013-10-21,,"Emily Blunt","Edge of Tomorrow","February 23, 1983"
80,nm0005251,2013-10-21,2013-10-21,,"Carrie-Anne Moss","The Matrix","August 21, 1967"
81,nm0680983,2013-10-21,2013-10-21,,"Elliot Page","Juno","February 21, 1987"
82,nm0005305,2013-10-21,2013-10-21,,"Piper Perabo","Coyote Ugly","October 31, 1976"
83,nm0000207,2013-10-21,2013-10-21,,"Christina Ricci","Buffalo '66","February 12, 1980"
84,nm0005392,2013-10-21,2013-10-21,,"Keri Russell","Mission: Impossible III","March 23, 1976"
85,nm0939697,2013-10-21,2013-10-21,,"Evan Rachel Wood","Thirteen","September 7, 1987"
86,nm0000571,2013-10-21,2013-10-21,,"Mary-Louise Parker","RED","August 2, 1964"
87,nm0000161,2013-10-21,2013-10-21,,"Salma Hayek","Frida","September 2, 1966"
88,nm0334179,2013-10-21,2013-10-21,,"Lauren Graham","Gilmore Girls","March 16, 1967"
89,nm0447695,2013-10-26,2013-10-26,,"Anna Kendrick","Up in the Air","August 9, 1985"
90,nm0267812,2013-10-26,2013-10-26,,"Vera Farmiga","Up in the Air","August 6, 1973"
91,nm0000130,2013-11-09,2013-11-09,,"Jamie Lee Curtis","True Lies","November 22, 1958"
92,nm0350454,2013-11-09,2013-11-09,,"Maggie Gyllenhaal","Secretary","November 16, 1977"
