Title,Year,Runtime,IMDB Rating,Metascore,IMDB Votes,Box Office,Budget,Revenue,TMDB Rating,Vote Count,Month,Day,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Approved,G,GP,M,M/PG,NC-17,Not Rated,PG,PG-13,R,TV-MA,Unrated,Top_Production_Company,Top_Director,Top_Writer,Domestic,International,English_Language,Other_Language,Oscars_Won,Oscars_Nominated,Wins,Nominations,Descr_Sentiment,Tagline_Sentiment,Female_Lead,starpower
Zero Dark Thirty,2013,157,7.4,95.0,331492,95720716.0,40000000,132800000,6.989,4650,1,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,85,174,0,1,1,1.0
Sonic the Hedgehog,2020,99,6.5,47.0,182243,148974665.0,85000000,319715683,7.306,10000,2,14,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,3,12,1,1,0,0.3333333333333333
Trading Places,1983,116,7.5,69.0,174378,90404800.0,15000000,90404800,7.226,3424,6,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,3,8,0,1,0,0.3333333333333333
The Visit,2015,94,6.3,55.0,163760,65206105.0,5000000,98450062,6.318,4914,9,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,14,1,0,0,0.0
Law Abiding Citizen,2009,109,7.4,34.0,334044,73357727.0,53000000,127900000,7.387,5361,10,16,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,5,1,1,0,1.0
Little Women,2019,135,7.8,91.0,270557,108101214.0,424000,2100000,6.8,138,12,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,73,230,1,1,0,0.6666666666666666
The Running Man,1987,101,6.6,45.0,176455,38122105.0,27000000,38122105,6.542,2501,11,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0.6666666666666666
Charlie's Angels,2000,98,5.6,52.0,202171,125305545.0,48000000,73279888,6.406,3035,11,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,15,33,1,0,1,0.6666666666666666
The Road,2009,111,7.2,64.0,264588,8117000.0,32000000,27635305,7.015,3994,11,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5,34,0,1,0,1.3333333333333333
22 Jump Street,2014,112,7.0,71.0,426134,191719337.0,50000000,331333876,6.829,8129,6,13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,7,25,0,0,0,0.0
Sunshine,2007,107,7.2,64.0,278990,3675753.0,50000000,34800000,6.963,3956,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,22,0,0,0,0.6666666666666666
White House Down,2013,131,6.3,52.0,244012,73103784.0,150000000,205366737,6.464,4882,6,28,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,9,1,1,0,1.3333333333333333
Scream 3,2000,116,5.7,56.0,175168,89143175.0,40000000,161834276,5.99,3757,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,5,1,0,0,0.6666666666666666
Incredibles 2,2018,118,7.5,80.0,354782,608581744.0,200000000,1242805359,7.454,13161,6,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,14,81,1,1,0,0.0
Ad Astra,2019,123,6.5,80.0,272111,50188370.0,87500000,127461872,6.116,6850,9,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,10,75,1,0,0,1.3333333333333333
Man on Fire,2004,146,7.7,47.0,404135,77911774.0,70000000,130300000,7.457,5309,4,23,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,7,1,0,0,1.3333333333333333
Glass,2019,129,6.6,43.0,294949,111048468.0,20000000,246999039,6.665,8717,1,18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,2,15,0,0,0,1.3333333333333333
Friday the 13th,1980,95,6.4,22.0,168158,39754601.0,550000,59754601,6.418,3104,5,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,1,0.0
Transformers: Age of Extinction,2014,165,5.6,32.0,342545,245439076.0,210000000,1104054072,5.947,8387,6,27,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,5,23,0,1,0,0.6666666666666666
Independence Day: Resurgence,2016,120,5.2,32.0,194955,103144286.0,165000000,389681935,5.344,6196,6,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,17,1,0,0,0.3333333333333333
House of Gucci,2021,158,6.6,59.0,168679,53809574.0,75000000,153235995,6.589,3238,11,24,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,17,79,1,1,1,0.6666666666666666
Morbius,2022,104,5.1,35.0,165606,73865530.0,75000000,167635712,5.953,4536,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3,4,0,1,0,0.0
Ghost Rider,2007,110,5.3,35.0,262798,115802596.0,110000000,228738393,5.578,6133,2,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,11,0,1,0,1.0
First Blood,1982,93,7.7,61.0,290126,47212904.0,15000000,125212904,7.494,6519,10,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0.0
Escape from New York,1981,99,7.1,76.0,166396,25244626.0,6000000,50244700,7.1,3311,7,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0.0
Beverly Hills Cop,1984,105,7.4,66.0,225010,234760478.0,14000000,316360478,7.205,4336,12,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,6,7,0,1,0,0.3333333333333333
Pirates of the Caribbean: At World's End,2007,169,7.1,50.0,723628,309420425.0,300000000,961691209,7.26,14802,5,25,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,2,23,51,1,1,0,1.6666666666666667
Friends with Benefits,2011,109,6.5,63.0,402459,55802754.0,35000000,149500000,6.653,8108,7,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,5,1,1,1,0.0
The Wolverine,2013,126,6.7,61.0,514335,132556852.0,120000000,415440673,6.424,9861,7,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2,11,1,1,0,0.6666666666666666
Aquaman,2018,143,6.8,55.0,540999,335104314.0,160000000,1152028393,6.875,14398,12,21,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,36,1,1,0,0.3333333333333333
Unbroken,2014,137,7.2,59.0,191681,115637895.0,65000000,163400000,7.427,4194,12,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,3,14,33,1,1,0,0.3333333333333333
Priscilla,2023,113,6.5,79.0,48696,20960939.0,20000000,30140906,6.79,917,11,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,33,1,1,0,0.0
Terms of Endearment,1983,132,7.4,79.0,68377,108423489.0,8000000,108423749,7.114,780,12,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,5,0,33,22,1,1,1,1.3333333333333333
Air,2023,111,7.4,73.0,184723,52460106.0,80000000,90100000,7.321,2111,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5,50,1,1,0,1.6666666666666667
The Matrix Reloaded,2003,138,7.2,62.0,653850,281576461.0,150000000,738599701,7.06,11348,5,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,8,34,1,1,0,1.6666666666666667
From Russia with Love,1964,115,7.3,83.0,152126,24796765.0,2000000,78900000,7.074,3127,5,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,3,6,0,0,0,0.6666666666666666
The Book of Eli,2010,118,6.8,53.0,348102,94835059.0,80000000,157107755,6.793,6335,1,15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,16,1,0,0,0.6666666666666666
A Dog's Purpose,2017,100,7.3,43.0,82980,64508620.0,22000000,205000000,7.636,3407,1,27,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,1,0,0,0.3333333333333333
Zombieland,2009,88,7.5,73.0,647582,75590286.0,23600000,102391540,7.26,12595,10,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,10,29,1,0,0,0.6666666666666666
Cloverfield,2008,85,7.0,64.0,433502,80048433.0,25000000,170764026,6.698,7362,1,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,34,1,1,0,0.0
True Grit,2010,110,7.6,80.0,366886,171243005.0,38000000,252300000,7.309,5422,12,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,10,38,170,1,0,0,1.3333333333333333
Enchanted,2007,107,7.1,75.0,223959,127807262.0,85000000,340487652,6.84,5523,11,21,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,3,12,51,1,1,1,1.6666666666666667
Close Encounters of the Third Kind,1977,138,7.6,90.0,225155,135189114.0,20000000,306889114,7.347,4374,12,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,16,40,0,1,0,0.0
While You Were Sleeping,1995,103,6.8,67.0,121250,81057016.0,17000000,182100000,7.0,1886,4,21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4,5,0,1,1,1.3333333333333333
The World Is Not Enough,1999,128,6.4,57.0,215209,126943684.0,135000000,361832400,6.281,3043,11,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,7,12,1,1,0,1.0
Green Room,2016,95,7.0,79.0,148318,3220371.0,5000000,3800000,6.718,2772,5,13,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,8,25,0,0,0,0.0
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,99,7.2,74.0,74472,118700272.0,75000000,180513586,7.208,1449,8,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,73,1,0,0,0.0
One Day,2011,107,7.0,48.0,175411,13843771.0,15000000,59400000,7.4,4365,8,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,2,1,1,1,0.6666666666666666
Die Another Day,2002,133,6.1,56.0,235500,160942139.0,142000000,431971116,5.995,3652,11,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,36,1,1,0,0.6666666666666666
About a Boy,2002,101,7.1,75.0,196789,41385278.0,27000000,129000000,6.691,2273,5,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,11,30,1,1,0,0.3333333333333333
The Rainmaker,1997,135,7.2,72.0,86982,45916769.0,40000000,45916769,7.026,1367,11,21,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,10,0,1,0,0.6666666666666666
Atomic Blonde,2017,115,6.7,63.0,215257,51687870.0,30000000,100014025,6.429,6367,7,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,14,20,1,1,1,1.0
Two Weeks Notice,2002,101,6.2,42.0,129684,93354851.0,60000000,199043242,6.371,2111,12,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,3,0,1,1,0.6666666666666666
Primal Fear,1996,129,7.7,47.0,265932,56116183.0,30000000,102600000,7.66,3579,4,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,10,12,1,0,0,1.3333333333333333
Fifty Shades Freed,2018,105,4.5,31.0,79263,100407760.0,55000000,371985018,6.692,8159,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,6,10,1,1,1,0.6666666666666666
Couples Retreat,2009,113,5.5,23.0,118707,109204945.0,70000000,171844840,5.56,2014,10,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,4,1,0,0,0.6666666666666666
Heathers,1989,103,7.2,72.0,122789,1108462.0,3000000,1166207,7.275,1779,3,31,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,11,0,1,1,2.0
King Arthur: Legend of the Sword,2017,126,6.7,41.0,241124,39175066.0,175000000,149175066,6.55,5823,5,12,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,10,0,0,0,1.0
Solo: A Star Wars Story,2018,135,6.9,62.0,398285,213767512.0,250000000,392952373,6.56,8863,5,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,6,26,1,0,0,1.0
Star Trek Beyond,2016,122,7.0,68.0,265167,158848340.0,185000000,343471816,6.783,6791,7,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,3,29,0,1,0,0.6666666666666666
War Dogs,2016,114,7.1,57.0,279903,43034523.0,50000000,86234523,6.925,5131,8,19,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,3,0,1,0,0.0
300: Rise of an Empire,2014,102,6.2,48.0,324654,106580051.0,110000000,337580051,6.115,6675,3,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,7,1,1,0,0.3333333333333333
The Invasion,2007,99,5.9,45.0,85888,15074191.0,80000000,40170558,6.025,1572,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0,1,1.3333333333333333
Jerry Maguire,1996,139,7.3,77.0,299553,153952592.0,50000000,273600000,6.965,3447,12,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,26,41,0,1,0,2.3333333333333335
Justice League,2017,120,6.0,45.0,493416,229024295.0,300000000,661326987,6.076,13236,11,17,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,2,14,1,0,0,0.6666666666666666
Sicario: Day of the Soldado,2018,122,7.1,61.0,179620,50072235.0,35000000,75836683,6.935,3772,6,29,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,8,0,0,0,0.6666666666666666
Slumdog Millionaire,2008,120,8.0,84.0,897702,141319928.0,15000000,378400000,7.732,10845,12,25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,8,0,153,133,1,0,0,0.0
Jingle All the Way,1996,89,5.8,34.0,123161,60592389.0,60000000,129800000,6.1,2760,11,22,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,4,0,0,0,0.6666666666666666
Evil Dead,2013,91,6.5,57.0,206475,54239856.0,17000000,99010045,6.573,4760,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,20,0,1,0,0.0
Tomorrow Never Dies,1997,119,6.5,52.0,210403,125304276.0,110000000,333011068,6.369,3212,12,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,10,1,1,0,1.6666666666666667
Immortals,2011,110,6.0,46.0,180205,83504017.0,75000000,226904017,6.0,2669,11,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,6,0,0,0,0.0
Widows,2018,129,6.8,84.0,107031,42402632.0,42000000,73900000,6.5,2355,11,16,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,18,107,1,0,1,0.0
The Book of Life,2014,95,7.2,67.0,81652,50151543.0,50000000,97437106,7.5,2789,10,17,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,3,29,1,1,0,0.3333333333333333
Deepwater Horizon,2016,107,7.1,68.0,190840,61433527.0,110000000,121790376,6.885,4658,9,30,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,2,4,15,0,0,0,0.6666666666666666
The Birdcage,1996,117,7.2,71.0,104883,124060553.0,31000000,185300000,7.043,1223,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,7,25,1,1,0,1.3333333333333333
Knight and Day,2010,109,6.3,46.0,219833,76423035.0,117000000,261989769,6.223,4653,6,23,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,3,1,0,0,1.3333333333333333
Unbreakable,2000,106,7.3,62.0,457478,95011339.0,75000000,248118121,7.144,9528,11,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,2,16,1,0,0,1.3333333333333333
A View to a Kill,1985,131,6.3,40.0,109102,50327960.0,30000000,152427960,6.239,2049,5,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,6,1,0,0,0.6666666666666666
Ghost in the Shell,2017,107,6.3,52.0,233381,40563557.0,3000000,10000000,7.927,3592,3,31,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3,6,0,0,1,0.6666666666666666
She's All That,1999,95,5.9,51.0,106106,63366989.0,10000000,103166989,6.317,2133,1,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,8,6,1,0,0,0.0
The Equalizer 2,2018,121,6.7,50.0,218394,102084362.0,62000000,190400157,6.777,5603,7,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,4,1,0,0,1.0
Bombshell,2019,109,6.8,64.0,132378,31762808.0,32000000,61404394,6.787,3059,12,20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,26,63,0,0,1,1.3333333333333333
Crash,2005,112,7.7,66.0,456271,54580300.0,6500000,98400000,7.219,3631,5,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,66,112,1,1,0,1.6666666666666667
Pretty in Pink,1986,97,6.7,56.0,92328,40471663.0,9000000,40471663,6.723,1149,2,28,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0.0
Cold Mountain,2003,154,7.2,73.0,160560,95636509.0,79000000,173013509,6.932,1847,12,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,20,101,1,1,0,2.0
JFK,1991,189,8.0,72.0,176669,70405498.0,40000000,205405498,7.597,2229,12,20,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,0,19,41,1,1,0,1.3333333333333333
50 First Dates,2004,99,6.8,48.0,400758,120908074.0,75000000,196482882,6.87,7394,2,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,6,10,1,1,0,0.3333333333333333
Wreck-It Ralph,2012,101,7.7,72.0,482958,189422889.0,165000000,471222889,7.346,12601,11,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,33,42,0,0,0,0.3333333333333333
Identity,2003,90,7.3,64.0,281166,52159536.0,28000000,90259536,7.176,4041,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,11,0,1,0,1.3333333333333333
