Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
The Adventures of Tintin,2011,21 Dec 2011,"Animation, Action, Adventure",107 min,Steven Spielberg,"Hergé, Steven Moffat, Edgar Wright","Jamie Bell, Andy Serkis, Daniel Craig",PG,7.3,68,"249,784",Nominated for 1 Oscar. 22 wins & 63 nominations total,"$77,591,831","New Zealand, United States",English,"Having bought a model ship, the Unicorn, for a pound off a market stall Tintin is initially puzzled that the sinister Mr. Sakharine should be so eager to buy it from him, resorting to murder and kidnapping Tintin - accompanied by his marvellous dog Snowy - to join him and his gang as they sail to Morocco on an old cargo ship. Sakharine has bribed the crew to revolt against the ship's master, drunken Captain Haddock, but Tintin, Snowy and Haddock escape, arriving in Morocco at the court of a sheikh, who also has a model of the Unicorn. Haddock tells Tintin that over three hundred years earlier his ancestor Sir Francis Haddock was forced to scuttle the original Unicorn when attacked by a piratical forebear of Sakharine but he managed to save his treasure and provide clues to its location in three separate scrolls, all of which were secreted in models of the Unicorn. Tintin and Sakharine have one each and the villain intends to use the glass-shattering top Cs of operatic soprano the Milanese Nightingale to secure the third. With aid from bumbling Interpol agents the Thompson Twins our boy hero, his dog and the captain must prevent Sakharine from obtaining all three scrolls to fulfil the prophesy that only the last of the Haddocks can discover the treasure's whereabouts.",https://m.media-amazon.com/images/M/MV5BNDE5MDExNTQ1OF5BMl5BanBnXkFtZTcwMDIxMTM5Ng@@._V1_SX300.jpg
Green Lantern,2011,17 Jun 2011,"Action, Adventure, Sci-Fi",114 min,Martin Campbell,"Greg Berlanti, Michael Green, Marc Guggenheim","Ryan Reynolds, Blake Lively, Peter Sarsgaard",PG-13,5.5,39,"304,201",3 wins & 6 nominations total,"$116,601,172",United States,English,"In a mysterious universe, the Green Lantern Corps, an elite defense force of peace and justice have existed for centuries. Reckless test pilot Hal Jordan acquires superhuman powers when he is chosen by the Ring, the willpower-fed source of power. Reluctantly at first, he takes on the challenge after the death of Abin Sur, the finest Green Lantern. Putting his self-doubts aside, and spurred on by his sense of duty and love for his beautiful, intellectually equal, colleague, Carol Ferris, he is soon called to defend mankind from Parallax, a powerful, evil being who feeds on fear. Hal Jordan is the universe's last chance, as many Green Lanterns have been killed and the Corps is weakened, and he might just be the right Green Lantern for the duty of keeping the world safe from harm.",https://m.media-amazon.com/images/M/MV5BOWVjZWJmZjEtMjgzZC00N2ZkLTk3Y2ItM2FkOGY3MjhlNzBmXkEyXkFqcGc@._V1_SX300.jpg
Top Secret!,1984,22 Jun 1984,"Comedy, Crime, Music",90 min,"Jim Abrahams, David Zucker, Jerry Zucker","Jim Abrahams, David Zucker, Jerry Zucker","Val Kilmer, Omar Sharif, Jeremy Kemp",PG,7.2,68,"78,734",N/A,"$20,458,340","United Kingdom, United States","English, German, Yiddish, Latin, French","This time Zucker and Abrahams are spoofing, most notably, Elvis films and WWII spy movies. Val Kilmer stars as Nick Rivers, a handsome American 50s-style rock and roll singer. While performing in East Germany, he falls in love with a beautiful heroine and becomes involved with the French Resistance.",https://m.media-amazon.com/images/M/MV5BYWQ0ZDZjYjAtNTM3My00ZGI4LWJjNDYtMjVmM2IwOTdjMjU2XkEyXkFqcGc@._V1_SX300.jpg
The Beastmaster,1982,20 Aug 1982,"Action, Adventure, Fantasy",118 min,Don Coscarelli,"Don Coscarelli, Paul Pepperman, Andre Norton","Marc Singer, Tanya Roberts, Rip Torn",PG,6.2,18,"26,055",1 win & 2 nominations total,"$14,056,528","West Germany, United States",English,"Dar, the son of a king, is hunted by a priest after his birth, he is rescued from a cult ritual by his newly adopted father and taken to be raised in a humble village where he learns he has the ability to communicate with animals. When he becomes a grown man, his new father and village home are murdered by the priests followers. Dar begins his quest for revenge, befriending several animals along the way.",https://m.media-amazon.com/images/M/MV5BY2EyYjlmY2EtMjQ3Ni00N2Q2LWFkYTQtOGE2NzM2YjZkZTQ5XkEyXkFqcGc@._V1_SX300.jpg
Kong: Skull Island,2017,10 Mar 2017,"Action, Adventure, Fantasy",118 min,Jordan Vogt-Roberts,"Dan Gilroy, Max Borenstein, Derek Connolly","Tom Hiddleston, Samuel L. Jackson, Brie Larson",PG-13,6.7,62,"362,341",Nominated for 1 Oscar. 1 win & 22 nominations total,"$168,052,812","United States, China, Vietnam, Canada, Germany, United Kingdom, Singapore, India, Australia","English, Vietnamese, Japanese","A washed up monster chaser convinces the U.S. Government to fund a trip to an unexplored island in the South Pacific. Under the guise of geological research, the team travels to ""Skull Island"". Upon arrival, the group discover that their mission may be complicated by the wildlife which inhabits the island. The beautiful vistas and deadly creatures create a visually stunning experience that is sure to keep your attention.",https://m.media-amazon.com/images/M/MV5BMTcwMjcxYTQtYjJlOS00YTE1LWIyZGYtOGRlOTBlMWZmYTliXkEyXkFqcGc@._V1_SX300.jpg
Tag,2018,15 Jun 2018,"Action, Comedy",100 min,Jeff Tomsic,"Rob McKittrick, Mark Steilen, Russell Adams","Jeremy Renner, Ed Helms, Jake Johnson",R,6.5,56,"155,889",3 nominations total,"$54,730,625",United States,"English, Spanish","Childhood friends Jerry (Jeremy Renner), Callahan (Jon Hamm), Randy (Jake Johnson), Sable (Hannibal Buress) and Hoagie (Ed Helms) have been competing in the same game of tag for 30 years. When Jerry gets married, he attempts to retire from the intense annual game without ever being ""it,"" causing the other four to band together and go to extreme lengths to finally tag him. Directed by Jeff Tomsic. Inspired by the Wall Street Journal article ""It Takes Planning, Caution to Avoid Being It.""",https://m.media-amazon.com/images/M/MV5BM2VhYTg4M2MtMWJiNS00ZTExLWI4MTMtNjE1NTQ1ODA0MTJjXkEyXkFqcGc@._V1_SX300.jpg
Big Fat Liar,2002,08 Feb 2002,"Adventure, Comedy, Family",88 min,Shawn Levy,"Dan Schneider, Brian Robbins","Frankie Muniz, Amanda Bynes, Paul Giamatti",PG,5.5,36,"41,927",1 win & 3 nominations total,"$48,360,547","France, Germany, United States",English,"This is the story of a 14-year-old boy named Jason Shepherd who lies for the fun of it. He leaves an important essay entitled ""Big Fat Liar"" in movie producer Marty Wolf's limo, which he then turns into a film. When Jason sees a movie preview of it he and his best friend, Kaylee, travel to Los Angeles to make Marty confess to using it to clear his name and get him out of having to attend summer school. Jason then has to match wits with Marty, who also turns out to be a big liar.",https://m.media-amazon.com/images/M/MV5BMzhmZmM1OWItMjgwMi00ZjQxLWFjNjktY2VkZTYyZjMwMWFlXkEyXkFqcGc@._V1_SX300.jpg
Upgraded,2024,09 Feb 2024,"Comedy, Romance",104 min,Carlson Young,"Christine Lenig, Justin Matthews, Luke Spencer Roberts","Camila Mendes, Archie Renaux, Marisa Tomei",R,6.1,59,"29,456",1 nomination total,N/A,United States,English,"Ana, an ambitious intern at an art auction house in New York City, misrepresents herself to a handsome wealthy man as the director. As their romance develops, her deception creates challenges that threaten her career and relations...",https://m.media-amazon.com/images/M/MV5BNjA0MGE3M2YtY2E0Yi00NmFlLWJmNjctNDcyZDk4NWUxYjExXkEyXkFqcGc@._V1_SX300.jpg
The Chronicles of Narnia: Prince Caspian,2008,16 May 2008,"Action, Adventure, Family",150 min,Andrew Adamson,"Andrew Adamson, Christopher Markus, Stephen McFeely","Ben Barnes, Skandar Keynes, Georgie Henley",PG,6.5,62,"233,863",4 wins & 21 nominations total,"$141,621,490","United States, Poland, Slovenia, Czech Republic, United Kingdom, Australia, Germany, New Zealand",English,"A year has passed by since the Pevensie children stepped through the wardrobe. In Narnia, centuries have passed since the defeat of the White Witch. Now the foursome are sent back to Narnia to find that everything was destroyed and the Narnia they once knew is gone forever. They come to aid the young Prince Caspian, who is leading a group of Old Narnians to wage war against his malicious uncle Miraz, who rules Narnia with an iron fist. Will they succeed? When will Aslan return?",https://m.media-amazon.com/images/M/MV5BOTBiYzYyYWYtYTZlMC00OGYyLTg1ZTYtYWU4OGY4NTRhMzg4XkEyXkFqcGc@._V1_SX300.jpg
Horrible Bosses,2011,08 Jul 2011,"Comedy, Crime",98 min,Seth Gordon,"Michael Markowitz, John Francis Daley, Jonathan Goldstein","Jason Bateman, Charlie Day, Jason Sudeikis",R,6.9,57,"479,719",3 wins & 14 nominations total,"$117,538,559",United States,English,"Nick hates his boss, mostly because he's expected to work from before sunrise to after sunset and his boss, Mr. Harken, calls him out for being a minute late and blackmails him so he can't quit. Dale hates his boss, Dr. Julia Harris, because she makes unwelcome sexual advances when he's about to get married. But Dale is on that pesky list of child-offenders so he can't quit. Kurt actually likes his job and his boss--well, up until his boss dies and the boss's coked-out, psychopathic son takes over. But who would be crazy enough to quit their jobs in such poor economic times? Instead, Nick, Dale, and Kurt drunkenly and hypothetically discuss how to kill their bosses, and before they know it, they've hired a murder consultant to help them pull off the three deeds.",https://m.media-amazon.com/images/M/MV5BNzYxNDI5Njc5NF5BMl5BanBnXkFtZTcwMDUxODE1NQ@@._V1_SX300.jpg
Nacho Libre,2006,16 Jun 2006,"Comedy, Family, Sport",92 min,Jared Hess,"Jared Hess, Jerusha Hess, Mike White","Jack Black, Ana de la Reguera, Héctor Jiménez",PG,5.9,52,"98,480",1 win & 11 nominations total,"$80,197,993","United States, Germany","English, Spanish","Nacho (Black) is a monastery cook, who spends his day feeding orphans and being overlooked by the monastery. When Sister Encarnación (Reguera) arrive at the monastery, Nacho realises that the only way to win her affection and to save the children, will be by competing as a Luchador wrestler.",https://m.media-amazon.com/images/M/MV5BMjMyNmEzNWYtMDNkYS00NGFmLWE3YjYtNDViYjUyMDA3MTlkXkEyXkFqcGc@._V1_SX300.jpg
The Witches,1990,24 Aug 1990,"Adventure, Comedy, Family",91 min,Nicolas Roeg,"Roald Dahl, Allan Scott","Anjelica Huston, Mai Zetterling, Jasen Fisher",PG,6.8,78,"56,252",Nominated for 1 BAFTA Award3 wins & 8 nominations total,"$10,360,553","United Kingdom, United States",English,"A recently orphaned young boy is taken to a seaside hotel in England by his grandmother, who is recuperating after an illness.. Also staying at their hotel is a group of witches who have gathered to prepare a plot to rid England of all children.",https://m.media-amazon.com/images/M/MV5BMjI1MDg5NzAyMV5BMl5BanBnXkFtZTgwNzU5Mzk4NjE@._V1_SX300.jpg
Star Trek Into Darkness,2013,16 May 2013,"Action, Adventure, Sci-Fi",132 min,J.J. Abrams,"Roberto Orci, Alex Kurtzman, Damon Lindelof","Chris Pine, Zachary Quinto, Zoe Saldaña",PG-13,7.7,72,"504,628",Nominated for 1 Oscar. 7 wins & 58 nominations total,"$228,778,661",United States,"English, Klingon","When the USS Enterprise crew is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis. With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction. As our space heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",https://m.media-amazon.com/images/M/MV5BMTk2NzczOTgxNF5BMl5BanBnXkFtZTcwODQ5ODczOQ@@._V1_SX300.jpg
Maleficent: Mistress of Evil,2019,18 Oct 2019,"Adventure, Drama, Family",119 min,Joachim Rønning,"Linda Woolverton, Noah Harpster, Micah Fitzerman-Blue","Angelina Jolie, Elle Fanning, Harris Dickinson",PG,6.6,43,"127,081",Nominated for 1 Oscar. 1 win & 11 nominations total,"$113,929,605","United Kingdom, Canada, United States, France",English,"Five peaceful years have passed since the demise of the duplicitous monarch, King Stefan, in Maleficent (2014), and now, an unforeseen but joyous event is about to unite the mortal kingdom of Ulstead and the fairy-realm of the enchanted Moors. However, once more, odious treason stands in the way of true young love, as malicious envy, unbounded ambition and ignoble thoughts creep in the hearts of men. Now, two neighboring worlds find themselves divided by fear and prejudice, and, sadly, the impending union paves the way for an all-out confrontation. Suddenly, the magnificent winged sprite, Maleficent, and the lovely Princess Aurora are caught in the middle. Does love always end well?",https://m.media-amazon.com/images/M/MV5BNTY4YjYwYzMtYTg1NC00ZmJiLTk0OTYtMWMzM2Y4Yzc5MDc2XkEyXkFqcGc@._V1_SX300.jpg
The Bad Guys,2022,22 Apr 2022,"Animation, Adventure, Comedy",100 min,Pierre Perifel,"Aaron Blabey, Etan Cohen","Sam Rockwell, Marc Maron, Awkwafina",PG,6.8,64,"68,790",2 wins & 30 nominations total,"$97,459,240","Japan, United States","English, Spanish","After a lifetime of legendary heists, notorious criminals Mr. Wolf, Mr. Snake, Mr. Piranha, Mr. Shark and Ms. Tarantula are finally caught. To avoid a prison sentence, the animal outlaws must pull off their most challenging con yet -- becoming model citizens. Under the tutelage of their mentor, Professor Marmalade, the dubious gang sets out to fool the world that they're turning good.",https://m.media-amazon.com/images/M/MV5BODNlYmQzY2MtZWZiZS00Y2I0LTkwNjItNjg3MjY5YTFkNWI3XkEyXkFqcGc@._V1_SX300.jpg
48 Hrs.,1982,08 Dec 1982,"Action, Comedy, Crime",96 min,Walter Hill,"Roger Spottiswoode, Walter Hill, Larry Gross","Nick Nolte, Eddie Murphy, Annette O'Toole",R,6.9,71,"90,372",3 wins & 2 nominations total,"$78,868,508",United States,"English, Spanish","Oddball cop and tough guy, Jack Cates is the only survivor of a cop shooting and in hunting down the murderer collects Reggie Hammond from jail for 48 hours. Hammond is oddly motivated to help. The killer is searching for his stash of cash. Cates and Hammond who have the Black-white, cop-crook thing to work out make surprisingly good partners as they navigate through the city looking for their suspect.",https://m.media-amazon.com/images/M/MV5BZGQwMzQ1NjItMWU0YS00ZDc0LThlYzUtMDgzOTIzN2QwZTJmXkEyXkFqcGc@._V1_SX300.jpg
The Living Daylights,1987,31 Jul 1987,"Action, Adventure, Thriller",130 min,John Glen,"Richard Maibaum, Michael G. Wilson, Ian Fleming","Timothy Dalton, Maryam d'Abo, Jeroen Krabbé",PG,6.7,59,"110,287",3 wins & 7 nominations total,"$51,185,897","United Kingdom, United States","English, Arabic, French, German, Russian, Czech, Slovak, Dari, Pashtu","James Bond 007's mission is to firstly, organise the defection of a top Soviet general. When the general is re-captured, Bond heads off to find why an ally of General Koskov was sent to murder him. Bond's mission continues to take him to Afghanistan, where he must confront an arms dealer known as Brad Whitaker. Everything eventually reveals its self to Bond.",https://m.media-amazon.com/images/M/MV5BNzU3NjJlZDItY2EzOC00NWU2LThiZjUtMTUzNjdiYmZlYWE0XkEyXkFqcGc@._V1_SX300.jpg
Bound,1996,04 Oct 1996,"Crime, Thriller",109 min,"Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Jennifer Tilly, Gina Gershon, Joe Pantoliano",R,7.3,64,"64,779",8 wins & 13 nominations total,"$3,802,260",United States,"English, Italian","Corky, a lesbian ex con hired to work in an apartment as a plumber, meets neighbors Caesar, who launders money for the Mafia, and his girlfriend Violet. The two women have a love affair and decide to steal $2,000,000 that Caesar has in custody before he gives them back to Mafia boss Gino Marzone. Caesar is set up by the two scheming women as a scapegoat but things start to go wrong when he reacts in an unexpected way...",https://m.media-amazon.com/images/M/MV5BNjY0OWFmODctNmEwNy00Njc2LWFkYTAtNmI4OWIzY2ZkYjJlXkEyXkFqcGc@._V1_SX300.jpg
Carlito's Way,1993,12 Nov 1993,"Crime, Drama, Thriller",144 min,Brian De Palma,"Edwin Torres, David Koepp","Al Pacino, Sean Penn, Penelope Ann Miller",R,7.9,66,"241,373",2 wins & 9 nominations total,"$36,948,322",United States,"English, Spanish, French","A Puerto Rican ex-con pledges to stay away from his former drug dealing ways but finds himself being dragged back by his past connections and the naive machinations of his lawyer and best friend. Hoping to raise enough money to get away from New York, Carlito Brigante takes on the job of running a nightclub, renews an affair with a dancer but old associates and old instincts suck him back into a world of violence and mistrust.",https://m.media-amazon.com/images/M/MV5BZjMxOTgzNzMtZmZlNC00YTMyLThhZDEtZjc2MTY4ZDgxNjcwXkEyXkFqcGc@._V1_SX300.jpg
Heartbreak Ridge,1986,05 Dec 1986,"Drama, War",130 min,Clint Eastwood,"James Carabatsos, Dennis Hackin, Joseph Stinson","Clint Eastwood, Marsha Mason, Everett McGill",R,6.8,53,"50,195",Nominated for 1 Oscar. 2 wins & 1 nomination total,"$42,724,017",United States,"English, Spanish","1983. Thomas Highway (Clint Eastwood) is a well-decorated career military man in the United States Marine Corps, he who has seen action in Korea and Vietnam. His current rank is Gunnery Sergeant. His experiences have led him to become an opinionated, no nonsense man, who is prone to bursts of violence, especially when he's drunk, if the situation does not suit him, regardless of the specifics or people involved. Because of these actions, he has spent his fair share of overnighters behind bars. Close to retirement, one of his last assignments, one he requested, is back at his old unit at Cherry Point, North Carolina, from where he was transferred for insubordination and conduct unbecoming. He is to train a reconnaissance platoon. His superior officer, the much younger and combat inexperienced Major Malcolm Powers (Everett McGill), sees Highway as a relic of an old-styled military. Highway's commanding officer, Lieutenant Ring (Boyd Gaines), the platoon leader, is also a younger man who has no combat experience, but is academically inclined and happy-go-lucky. Highway finds that his team is a rag-tag bunch of slackers, who includes wannabe rock musician Corporal Stitch Jones (Mario Van Peebles), with whom Highway had an inauspicious earlier meeting. The men in the platoon, who truly believe Highway is crazy, hate him, and don't understand why they have to follow his harsh training regimen when the United States is not currently at war. The Major, who is all about efficiency regardless of combat readiness, has the same views of Highway. He is clear that he sees Highway's platoon solely as a training mechanism for his own elite squad trained by Highway's nemesis, Staff Sergeant Webster (Moses Gunn). Things for Highway and his platoon change when the United States enters into war in Grenada. Through it all, Highway tries to reconnect with his bar waitress ex-wife Aggie (Marsha Mason), he even clandestinely reading women's magazines to understand her better. Two primary obstacles stand in his way: Roy Jennings (Bo Svenson), Aggie's boss and current suitor who hates Marines, and Aggie's own remembrance of how dysfunctional their marriage was.",https://m.media-amazon.com/images/M/MV5BMzg2MTVjMTgtZTc0Zi00NmJlLWIwMTItMzk1YzA3ZmE1OWJjXkEyXkFqcGc@._V1_SX300.jpg
Cash Out,2024,27 Apr 2024,Action,92 min,Randall Emmett,"Dipo Oseni, Doug Richardson","John Travolta, Kristin Davis, Lukas Haas",R,4.8,46,"3,093",N/A,N/A,United States,English,"Professional thief Mason attempts his biggest heist with his brother, robbing a bank. When it goes wrong, they're trapped inside surrounded by law enforcement. Tension rises as Mason negotiates with his ex-lover, the lead negotiator.",https://m.media-amazon.com/images/M/MV5BZDQ5OGRiMWItOWI4ZC00NGViLWI2ZjctNTg3YzAwN2Y0NmM2XkEyXkFqcGc@._V1_SX300.jpg
